Task,Week,Date,Completed,Category,Time,Notes
Instagram: Construction photo "23 days to go",1,Nov 4,FALSE,Social,10 min,
Convert hero image to WebP (squoosh.app),1,Nov 5,FALSE,Website,45 min,
Update hero headline to "Cleveland's First...",1,Nov 6,FALSE,Website,15 min,
Draft press release,1,Nov 7,FALSE,Press,2 hrs,
Send press releases to all media contacts,1,Nov 8,FALSE,Press,1 hr,
Instagram: Behind-the-scenes setup photo,1,Nov 5,FALSE,Social,10 min,
Instagram: Book display/shelf photo,1,Nov 7,FALSE,Social,10 min,
Instagram: "Meet Emily" intro post,1,Nov 9,FALSE,Social,15 min,
Email #2: "Meet Your Book Experts" (Sunday 6-8pm),1,Nov 10,FALSE,Email,1 hr,Draft in Mailchimp
Instagram: Countdown "18 days!",2,Nov 11,FALSE,Social,10 min,
Website: Add testimonials section,2,Nov 12,FALSE,Website,30 min,Optional
Instagram: Featured book recommendation,2,Nov 13,FALSE,Social,15 min,
Instagram: Store exterior/sign photo,2,Nov 14,FALSE,Social,10 min,
Review press coverage (if any responses),2,Nov 15,FALSE,Press,30 min,
Instagram: Reading nook/cozy corner photo,2,Nov 16,FALSE,Social,10 min,
Email #3: "Sneak Peek Inside" (Sunday 6-8pm),2,Nov 17,FALSE,Email,1 hr,Include store photos
Instagram: Countdown "12 days!",3,Nov 18,FALSE,Social,10 min,
Finalize inventory for opening,3,Nov 19,FALSE,Store,2 hrs,
Instagram: Best-sellers shelf,3,Nov 20,FALSE,Social,10 min,
PRE-ORDER LAUNCH (if doing this),3,Nov 21,FALSE,Store,4 hrs,Optional - your decision
Instagram: Pre-order announcement (if applicable),3,Nov 21,FALSE,Social,15 min,Only if doing pre-orders
Instagram: Staff picks display,3,Nov 22,FALSE,Social,10 min,
Final store prep and cleaning,3,Nov 23,FALSE,Store,3 hrs,
Email #4: "This Week is the Week!" (Sunday 6-8pm),3,Nov 24,FALSE,Email,1 hr,Build excitement!
Instagram: Final countdown "5 days!",4,Nov 25,FALSE,Social,10 min,
Prep opening day supplies (bags/receipts/etc),4,Nov 26,FALSE,Store,2 hrs,
Instagram: "Opening in 2 days!" teaser,4,Nov 27,FALSE,Social,10 min,
VIP SOFT OPENING (4-7pm) - if doing this,4,Nov 28,FALSE,Store,5 hrs,Optional - your decision
Instagram Stories: VIP event highlights,4,Nov 28,FALSE,Social,30 min,Only if doing VIP event
GRAND OPENING DAY (10am-6pm),4,Nov 29,FALSE,Store,10 hrs,THE BIG DAY!
Instagram: Grand opening celebration posts,4,Nov 29,FALSE,Social,1 hr,Multiple posts throughout day
Take photos/videos for social media,4,Nov 29,FALSE,Social,ongoing,Capture everything!
Collect customer emails and testimonials,4,Nov 29,FALSE,Store,ongoing,Throughout the day
Email #5: "Thank You!" recap (Sunday 6-8pm),4,Nov 30,FALSE,Email,1 hr,Celebrate and thank everyone
Instagram: Thank you post with highlights,4,Nov 30,FALSE,Social,30 min,Share best moments
Add FAQ section to website,1-4,Anytime,FALSE,Website,1 hr,Optional - low priority
Update website with store photos,1-4,Anytime,FALSE,Website,1 hr,Optional - after opening
Set up Google Business Profile,1-4,Anytime,FALSE,Marketing,30 min,Optional but recommended
Test Square payment system,3-4,Before Nov 28,FALSE,Store,30 min,Critical before opening
Create backup plan for tech issues,3-4,Before Nov 28,FALSE,Store,1 hr,What if wifi/Square fails?
Print price tags and signage,3-4,Nov 26-27,FALSE,Store,2 hrs,Before opening
Stock register with change,4,Nov 28,FALSE,Store,30 min,Before soft or grand opening
Create opening day playlist,3-4,Anytime,FALSE,Store,30 min,Background music
Prepare coffee/tea station,4,Nov 28-29,FALSE,Store,1 hr,If offering refreshments
Plan social media content calendar (post-opening),4,After Nov 29,FALSE,Social,2 hrs,Keep momentum going